k12_site,k21_base,k12_pop,k21_pop,k12_pop_actual_hazard,k12_map_error,R01_pop,k10_pop,A_hat,m_hat,total_n1,total_n2
7.696261850370451,0.558007176109161,20.21899299673593,0.8819605921956509,24.9480584122289,0.2101735900056616,2.2680000000000002,0.29999999999999993,567.0,2.6271186440677967,118.0,3127.0
1.514817816317623,0.018307999810970293,3.5932887735906407,0.032417610077377756,4.033845634472656,0.11565229661469155,2.2132222222222224,0.30000000000000004,553.3055555555555,2.372093023255814,43.0,3904.0
7.881422988314154,0.01551833043042385,16.59246944908243,0.026498239207122114,12.466741080597677,0.2858845600211762,2.1921851851851852,0.3,548.0462962962963,2.1052631578947367,19.0,4200.0
5.08320855020976,0.14076066521152042,12.663431826838352,0.236559543393845,15.14280681965424,0.17880716546984396,2.2118148148148147,0.3,552.9537037037037,2.491228070175439,57.0,3916.0
6.899393119356938,0.07785442415816766,16.703793867916797,0.13362553809486907,18.65144313984331,0.11028765190726375,2.2303703703703706,0.3,557.5925925925926,2.4210526315789473,38.0,3675.0
1.3977430710199126,0.109606644285765,3.7384080550294483,0.18544022794869536,4.792414137907992,0.24837441277296277,2.2751851851851854,0.30000000000000004,568.7962962962963,2.6746031746031744,126.0,3026.0
1.2136450576077202,0.23696256740459304,3.3530472754371434,0.4041909127878122,4.503043257683953,0.29488388085855705,2.331148148148148,0.3,582.7870370370371,2.7627906976744185,215.0,2226.0
4.802663126693591,0.021794473000993148,9.605326253387181,0.038288556193569225,8.586986581699694,0.11206989362078475,2.2023333333333337,0.3,550.5833333333334,2.0,15.0,4065.0
6.823718833406633,0.4896334938543837,18.19658355575102,0.7879563670901255,22.709889721802732,0.221566640429705,2.2816666666666667,0.3,570.4166666666666,2.6666666666666665,111.0,2946.0
0.4886698893695257,0.08160366206033884,1.3233935630565266,0.13994243738545292,1.7086651344969104,0.25551312392847186,2.3255185185185185,0.3,581.3796296296297,2.708154506437768,233.0,2293.0
0.35271973676831186,0.2878553460692588,1.031106959107366,0.47623014356613863,1.4303141662788859,0.3272611741145393,2.420703703703704,0.29999999999999993,605.175925925926,2.9233038348082596,339.0,955.0
1.3897152935606112,0.059782103677444826,3.6699277655192843,0.1026331569085918,4.546356104453069,0.2141540764891184,2.2586296296296298,0.30000000000000004,564.6574074074074,2.6407766990291264,103.0,3261.0
2.113981780862394,0.048105783695231434,5.2389983264850635,0.08288243444394681,6.116496173697054,0.1548590909419861,2.2108518518518516,0.3,552.7129629629629,2.4782608695652173,69.0,3923.0
8.3482520080605,0.13107952710026358,21.1489050870866,0.22131576356595434,24.033055659963196,0.12784206665891346,2.235740740740741,0.3,558.9351851851852,2.533333333333333,45.0,3599.0
0.40951240585255416,0.36741443054448747,1.1825983258754849,0.6118157970848097,1.6482486804680492,0.3319993296723462,2.429555555555556,0.30000000000000004,607.3888888888889,2.8878205128205128,312.0,849.0
1.4103730311469282,0.2786219413882126,4.020222191587038,0.46985115045403697,5.361553821371538,0.2879166524764801,2.333555555555556,0.29999999999999993,583.3888888888889,2.850467289719626,214.0,2194.0
2.007187611668163,0.050761377343358345,5.156395761009591,0.08838116248284035,6.37929191508685,0.21281926659813288,2.23,0.3,557.5,2.5689655172413794,58.0,3670.0
